date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2015-04-08,sh.603939,62.6,65.8,61.77,63.24,6272785.0,399207504.0,3,15.681962,1,2.0494,71.985724,17.138679999999997,4.53694,853.4152839999999,0.0
2015-04-09,sh.603939,63.33,69.5,60.1,69.17,5205205.0,336060416.0,3,13.013013,1,9.377,78.73580799999999,18.74577,4.962368,933.439836,0.0
2015-04-10,sh.603939,66.9,75.4,66.53,71.29,4124169.0,293891040.0,3,10.310422,1,3.0649,81.148992,19.320311,5.11446,962.04895,0.0
2015-04-13,sh.603939,71.2,78.42,70.19,78.42,3900487.0,292157216.0,3,9.751218,1,10.0014,89.265029,21.252613,5.625978,1058.26734,0.0
2015-04-14,sh.603939,79.08,84.0,73.98,76.43,4576161.0,353683952.0,3,11.440403,1,-2.5376,86.999824,20.713303,5.483212,1031.412558,0.0
2015-04-15,sh.603939,73.58,75.86,70.0,73.31,3289405.0,237102786.0,3,8.223513,1,-4.0822,83.448346,19.867752,5.259378,989.308578,0.0
2015-04-16,sh.603939,72.6,77.0,69.02,72.46,3366421.0,246054617.0,3,8.416052,1,-1.1595,82.480796,19.637393,5.198398,977.837943,0.0
2015-04-17,sh.603939,73.0,74.2,70.7,71.78,2181811.0,156827023.0,3,5.454527,1,-0.9384,81.706756,19.453106,5.149613,968.661434,0.0
2015-04-20,sh.603939,70.6,72.99,70.1,70.99,2412749.0,170999774.0,3,6.031872,1,-1.1006,80.80750400000001,19.239008,5.092937999999999,958.000491,0.0
2015-04-21,sh.603939,70.75,76.8,70.18,75.15,2044064.0,151843677.0,3,5.11016,1,5.86,85.542807,20.36641,5.391383,1014.13913,0.0
2015-04-22,sh.603939,75.0,81.33,74.74,79.71,1913302.0,150825692.0,3,4.7832550000000005,1,6.0679,90.733429,21.602216,5.718524,1075.675716,0.0
2015-04-23,sh.603939,79.99,79.99,77.0,78.97,1573939.0,123193089.0,3,3.934848,1,-0.9284,89.891091,21.401669,5.665436,1065.689516,0.0
2015-04-24,sh.603939,77.68,78.2,75.2,77.15,1197635.0,92064564.0,3,2.994088,1,-2.3047,87.819396,20.90843,5.534866,1041.128861,0.0
2015-04-27,sh.603939,77.0,81.05,71.58,75.83,1711530.0,131755362.0,3,4.278825,1,-1.711,81.11291800000001,8.941652000000001,5.112048000000001,26.283665000000003,0.0
2015-04-28,sh.603939,75.0,75.0,69.8,70.98,1534445.0,110621136.0,3,3.836113,1,-6.3959,75.92502900000001,8.369753999999999,4.785087,24.602592,0.0
2015-04-29,sh.603939,70.22,73.32,69.8,72.88,1043372.0,75201581.0,3,2.60843,1,2.6768,77.957398,8.593797,4.913175,25.261157,0.0
2015-04-30,sh.603939,72.88,75.9,72.5,72.86,946428.0,70111011.0,3,2.36607,1,-0.0274,77.936004,8.591439,4.911827,25.254225,0.0
2015-05-04,sh.603939,73.7,73.7,70.0,70.43,1357268.0,95746834.0,3,3.39317,1,-3.3352,75.336711,8.3049,4.748009,24.411955,0.0
2015-05-05,sh.603939,70.49,72.6,64.5,67.99,1523527.0,105839916.0,3,3.808817,1,-3.4644,72.726722,8.017182,4.583517,23.566219,0.0
2015-05-06,sh.603939,68.18,72.06,67.99,69.99,1885631.0,132240578.0,3,4.714078,1,2.9416,74.866057,8.253016,4.7183470000000005,24.259445,0.0
